40.75,-73.99,13,64.86948222817504
40.75,-73.99,14,64.43715615183214
40.75,-73.99,21,63.85301799493053
40.75,-73.99,12,63.19456980364276
40.75,-73.99,8,62.695339160257994
40.75,-73.99,15,62.34855899978919
40.75,-73.99,22,62.34128121291632
40.75,-73.99,7,62.18168062359894
40.75,-73.99,29,61.88482352746862
40.75,-73.99,20,61.62678129466028
40.75,-73.98,13,60.376151076769304
40.75,-73.99,6,60.23838384807054
40.75,-73.98,14,59.74004696798596
40.74,-73.99,29,59.52196872274269
40.75,-73.98,21,59.22268569765475
40.74,-73.99,14,59.1804234616035
40.75,-73.99,16,59.17493320133099
40.74,-73.99,8,59.15195071646929
40.74,-73.99,15,59.068575368609885
40.75,-73.99,28,59.015843333899426
40.74,-73.99,21,58.84207021225066
40.74,-73.99,22,58.62833310303683
40.75,-73.99,11,58.57649483162654
40.74,-73.99,13,58.529380737660055
40.75,-73.99,9,58.34730838536679
40.75,-73.98,12,58.27593500182406
40.75,-73.98,7,57.72971794494426
40.75,-73.98,8,57.50959681215773
40.75,-73.99,10,57.50397887141376
40.75,-73.98,20,57.28743279182794
40.74,-73.99,7,57.12106513752351
40.74,-73.99,16,57.090549504846024
40.75,-73.99,23,57.06858846375595
40.75,-73.98,15,56.914733495654
40.75,-73.98,22,56.89021884513485
40.76,-73.98,13,56.771859048097085
40.74,-73.99,12,56.54611997456658
40.75,-73.98,29,56.469639372165695
40.74,-73.99,20,56.301867232675264
40.75,-73.98,6,55.91193107285505
40.74,-73.99,9,55.89520493109458
40.76,-73.98,14,55.78910245931639
40.73,-74.0,16,55.64980306496018
40.76,-73.98,21,55.45113225137791
40.75,-73.99,5,55.41052986145557
40.74,-74.0,29,55.282849390001665
40.75,-73.99,19,55.26395268022649
40.74,-73.99,28,54.99033342990077
40.74,-73.99,6,54.88869977462347
40.75,-73.98,28,54.86788785777648
